name,rating
2bar Straight Bourbon Whiskey,8.5
1792 Full Proof,9.1
1792 Full Proof Single Barrel (Kroger),8.9
1792 Full Proof Single Barrel (The Bourbon Society),9.4
1792 Single Barrel,8.8
1792 Small Batch (formerly Ridgemont Reserve),8.6
1792 Sweet Wheat,8.9
A Midwinter Nights Dram 2.9/710,9.0
A Midwinter Nights Dram 5.5,9.2
A.D. Laws Hordeum   ,7.9
Akashi White Oak Blended Whisky ,7.5
American Prairie,8.8
Ancient Age 80,7.5
Ancient Age 90,7.9
Ancient Ancient Age 10 Star,8.0
Ardbeg 10 Year,8.55
Ardbeg Corryvreckan,9.1
Ardbeg Dark Cove,8.6
Ardbeg Drum Committee Release,8.55
Ardbeg Drum Standard Release,8.35
Ardbeg Grooves,9.35
Ardbeg Kelpie,9.1
Ardbeg Supernova Committee Release (2019),9.35
Ardbeg Uigeadail,9.2
Auchentoshan 18 Year Old,8.1
Bad Guy Batch #3,9.0
Baker's ,8.6
Balcones Texas Single Malt ,8.85
Barrell Bourbon Batch 10,9.3
Barrell Bourbon Batch 13,8.3
Barrell Bourbon Batch 15,9.0
Barrell Bourbon Batch 019,9.0
Barrell Dovetail,9.1
Barrell Whiskey American Vatted Malt,8.5
Barrell Whiskey Batch 005,9.0
Barterhouse,8.5
Basil Hayden's,8.2
Basil Hayden's Two by Two Rye,7.8
Belle Meade Select Cask Madeira Finished Bourbon,9.4
Belle Meade Sherry Cask Finished Bourbon,9.2
Bernheim Wheat Whiskey (private barrel selection),8.3
Bernheim Wheat Whiskey Liquor Barn Private Selection,8.8
Bernheim  Wheat Whiskey Small Batch (Comparison Review),8.7
Big Peat Drinks by the Dram Edition,8.5
Black Ridge,8.5
Blade & Bow,8.8
Blade & Bow 22 Year,9.0
Blanton's,8.9
Blanton's Straight from the Barrel - Barrel #928,9.0
Booker's,9.0
Booker's Rye,9.4
Bruichladdich Islay Barley Rockside Farm 2007,8.5
Bruichladdich Octomore 8.1,8.85
Bruichladdich Octomore 10.3,9.45
Bruichladdich Port Charlotte Islay Barley Heavily Peated,8.7
Bruichladdich Port Charlotte Scottish Barley Heavily Peated,8.5
Bruichladdich Scottish Barley The Classic Laddie,8.5
Buffalo Trace,8.8
Bulleit 10 Year Bourbon,8.8
Bulleit Barrel Strength Bourbon,8.9
Bulleit Bourbon,8.6
Bulleit Bourbon Single Barrel,8.8
Bulleit Rye,8.7
Butterface,8.3
Caol Ila Distillers Edition Moscatel Cask Finish (2015),8.8
Cedar Ridge Single Malt finished in a Port Cask,6.6
Climax Wood Fired Whiskey,6.9
"Col. E. H. Taylor, Jr. Single Barrel",8.8
"Col. E. H. Taylor, Jr. Small Batch",8.8
"Colonel E. H. Taylor, Jr. Barrel Proof (2014)",9.2
Compass Box Juveniles,9.2
Compass Box Phenomenology,9.3
Connemara Peated Single Malt ,8.1
Coopers' Craft,8.4
Coopers' Craft Barrel Reserve,8.0
Dailuaine 16 Year Old Flora and Fauna,8.1
Dalwhinnie 25 Year Old 1989 (Special Release 2015),8.6
David Nicholson 1843,8.6
David Nicholson Reserve,8.7
Deanston 18 Year Old,8.5
 Deerhammer Single Malt,8.0
Double Rye!,9.0
Eagle Rare (2014 Label/Batched),8.4
"Eagle Rare (Pre 2014 Label, Single Barrel)",8.9
Early Times Bottled in Bond Bourbon,8.7
Egan's 10 Year Single Malt,8.7
Egan's Vintage Grain Irish Whiskey,8.6
Eight and Sand,8.8
Eighteen 33,8.6
Elijah Craig Barrel Proof Batch A119,9.3
Elijah Craig Barrel Proof Batch B514 134.8°,9.1
Elijah Craig Barrel Proof Batch B516 139.4° (Bill),8.8
Elijah Craig Barrel Proof Batch B516 139.4° (Wes),8.8
Elijah Craig Barrel Proof Batch B517 124.2°,9.2
Elijah Craig Barrel Proof Batch B519 122.2°,9.0
Elijah Craig Barrel Proof Batch C917 131°,9.1
Elijah Craig Barrel Proof Batch C918 131.4°,9.3
Elijah Craig Barrel Proof Batch C919 136.8°,9.0
Elijah Craig Barrel Select 125,8.2
Elijah Craig Small Batch (12 Year),8.9
Elmer T. Lee,8.9
Epoch Rye,8.6
Evan Williams 1783,8.5
Evan Williams (Black Label),8.2
Evan Williams Barrel Proof,9.1
Evan Williams Bottled in Bond (White Label),8.6
Evan Williams Master Distillers Select,8.8
Evan Williams Single Barrel Vintage 2003,8.8
Evan Williams Single Barrel Vintage 2004 (Society selection),8.9
Ezra B Single Barrel 12 Year,8.8
Ezra Brooks Straight Rye,8.1
Flatboat,8.7
Forged Oak,8.9
Four Roses LE Small Batch 125th Anniversary (2013),9.6
Four Roses LE Small Batch  (2014),9.2
Four Roses LE Small Batch  (2016),9.3
"Four Roses Limited Edition Single Barrel (2014), OESF",9.5
Four Roses Single Barrel,8.8
Four Roses Single Barrel Private Selection Barrel Strength OBSV (Whiskey Women/Liquor Barn),8.9
Four Roses Single Barrel Private Selection Barrel Strength OESF (Liquor Barn),9.4
Four Roses Single Barrel Private Selection OESQ (Liquor Barn),8.9
Four Roses Small Batch,8.7
Garrison Brothers Bourbon (Fall 2013 Vintage),8.3
Gaur Spice No.1 Blend,6.8
George Dickel 17 Year Tennessee Whiskey,7.7
George Remus Bourbon,8.8
George Remus Repeal Reserve Bourbon Series I (2017),9.2
George Remus Repeal Reserve Bourbon Series II (2018),9.2
"George T. Stagg, 2009 Bottling",9.5
Glen Moray Single Malt Peated,6.7
Glendalough 7 Year Porter Barrel Finish,7.5
Glendalough 13 Year Old Mizunara Oak Finish,9.1
Glendalough 13 Year Old Mizunara Oak Finish,9.1
GlenDronach Allardice 18 Year,9.2
Glenfarclas 25 Year Old,9.1
Glenfiddich 21 Year Old Gran Reserve,8.6
Grand Traverse Bourbon,9.1
Grand Traverse Islay Rye,9.4
Grand Traverse Rye,9.3
Hakushu Distiller’s Reserve Single Malt,8.8
Hancock's President's Reserve,8.7
Heaven Hill 6 Year Bottled in Bond (comparison),8.6
Heaven Hill 6 Year Bourbon,8.6
Heaven Hill 27 Year Bourbon,8.3
Heaven Hill Select Stock 2016 (126.4°),9.1
Heaven Hill Select Stock 2017 (97°),8.4
Henry McKenna Single Barrel Private Selection (Liquor Barn),8.8
Hibiki 17 Year Old,9.4
Hibiki Japanese Harmony ,8.5
Hillrock Single Malt Sherry Finished (OPX-10) ,7.75
Hyde 6 Year Old No. 3 Aras Cask,8.1
Hyde No. 6 President’s Reserve,9.1
I.W. Harper 15 year Bourbon,9.1
I.W. Harper Kentucky Straight Bourbon (4 years),8.4
Isaac Bowman Port Barrel Finish Bourbon,8.6
J.W. Dant Bottled-in-Bond,7.9
Jack Daniel's Red Dog Saloon Tennessee Whiskey,8.6
Jack Daniel's Single Barrel Barrel Proof,9.0
James E. Pepper 1776 Barrel Proof Rye,8.7
James E. Pepper 1776 Sherry Finished Rye,8.3
Jameson Caskmates IPA Edition,8.8
Jefferson's Chef's Collaboration (2015),8.4
Jefferson's Chef's Collaboration (2018),8.6
Jefferson's Ocean Voyage 3,8.9
Jefferson's Presidential Select 25 Year,8.4
Jefferson's Pritchard Hill Cab Finished Bourbon,8.3
Jim Beam Distiller's Cut,8.129999999999999
Jim Beam Double Oak,8.8
Jim Beam Harvest Collection Soft Red Wheat,8.4
 Kaiyo Cask Strength Mizunara Oak,8.5
Kamiki     ,7.0
Kavalan Sherry Oak,7.6
Kavalan Solist Sherry Cask,9.4
Kentucky Tavern Bottled-in-Bond,8.5
Kentucky Vintage,7.8
Kilchoman 100% Islay – 7th Edition,8.5
Kinahan’s 10 Year Single Malt ,8.5
King of Kentucky 2018,9.5
Kirin Fuji-Sanroku Blended Whisky,8.5
Knappogue Castle Texas Barrel Select 12 Year Single Malt Irish Whisky,9.2
Knob Creek,8.6
Knob Creek 2001,9.1
Knob Creek Cask Strength Rye (2018),9.2
Knob Creek Single Barrel Reserve,9.0
Knob Creek Single Barrel Rye (Westport Whiskey & Wine),9.0
Kura The Whisky Pure Malt,8.1
Lagavulin 8 Year Scotch,8.85
Lagavulin 12 Year Scotch,8.75
Lagavulin 16 Year Scotch,9.15
Lagavulin Distillers Edition (2015),9.2
Larceny,8.6
Larceny Barrel Proof,8.8
Lonerider Sherry Cask Finished Bourbon,7.8
Lost Prophet,9.0
Mackmyra Moment – Malström (Swedish Single Malt),8.3
Maker's 46,8.7
Maker's Mark,8.6
Maker's Mark Cask Strength,9.0
Maker's Mark Private Select Liquor Barn #1,9.3
Maker's Mark Private Select Liquor Barn #2,9.2
Mars Maltage “Cosmo” ,7.8
Masterson's Rye Whiskey,8.2
MB Roland Still & Barrel Proof,8.7
McAffee's Benchmark Old. No. 8,7.5
McCarthy’s Oregon Single Malt,8.65
Mellow Corn,7.6
Michter's Small Batch US*1,8.7
Michter’s Toasted Barrel Bourbon (2016),8.6
Minor Case Rye Whiskey (2017),8.7
Naarangi,8.5
Nikka All Malt,8.1
Nikka Blended Whisky,7.8
Nikka Coffey Grain,8.8
Nikka Coffey Malt,8.8
Nikka From the Barrel,9.1
Nikka Pure Malt Black ,9.1
Nikka Pure Malt Red ,8.5
Nikka Taketsuru 21-Year Old,9.1
Nikka Taketsuru Pure Malt ,8.5
Noah's Mill,8.9
O.K.I. 10 Year Sherry/Brandy Finished Bourbon,9.3
Old Bardstown Bottled-in-Bond,7.9
Old Crow,7.2
Old Ezra,8.7
Old Ezra Barrel Strength,9.0
Old Fitzgerald Bottled in Bond,8.6
Old Fitzgerald Bottled in Bond Fall 2018 Limited Edition,9.1
Old Fitzgerald Bottled in Bond Spring 2018 Limited Edition,8.8
Old Fitzgerald Bottled in Bond Spring 2019 Limited Edition,8.2
Old Fitzgerald Prime,8.3
Old Forester 86,8.2
Old Forester 1870 Original Batch,9.2
Old Forester 1897 Bottled-in-Bond,9.0
Old Forester 1910,8.6
Old Forester 1920 Prohibition Style Bourbon,9.1
Old Forester Birthday Bourbon 2014,9.0
Old Forester Birthday Bourbon 2016,9.0
Old Forester Birthday Bourbon 2017,9.2
Old Forester Birthday Bourbon 2018,8.6
Old Forester Rye,9.0
Old Forester Signature,8.8
Old Forester Single Barrel- The Bourbon Society selection,8.7
Old Forth Bottled in Bond,8.6
Old George Rye,9.3
Old Grand Dad BiB 100 (#BBBR),7.6
Old Grand-Dad 114,8.6
Old Overholt Bonded Rye Whiskey,7.9
Old Particular North British 27 Year Old,9.1
Old Taylor,6.9
Old Tub,8.4
Old Weller Antique  (Liquor Barn),8.5
Paddy Irish Whiskey ,7.5
"Parker's Heritage 7th edition, Promise of Hope (2013)",9.3
Parker's Heritage Collection 8th Edition Wheat Whiskey (2014),9.5
Parker's Heritage Collection 9th Edition Malt Whiskey (2015),8.8
Parker's Heritage Collection 11th Edition (2017),9.2
Parker's Heritage Collection 12th Edition (2018),8.6
Peaky Blinder Irish Whiskey   ,7.8
Penelope 4-Grain Bourbon,8.8
Pikesville Rye Whiskey,9.2
Pinhook Rye Lot 001,8.7
Rabbit Hole Bourbon,8.5
Rabbit Hole Rye,8.6
Rebel Yell Single Barrel 10 Year (2016),9.0
Rebel Yell Single Barrel 10 Year (2017),9.2
Rebel Yell Small Batch Rye,7.9
Redemption Wheated Bourbon (Batch 2),8.7
Resilient Indiana Bourbon Barrel #5,8.8
Resilient Tennessee Bourbon Barrel 88,8.5
Resilient Tennessee Bourbon Barrel 110,9.0
Rhetoric 23 Year,8.7
Rhetoric 25 Year,8.7
Rittenhouse Rye Bottled-in-Bond,9.1
Rock Hill Farms Single Barrel,9.0
Roe & Co Blended Irish Whiskey,7.8
Rossville Union Barrel Proof Rye,9.0
Rossville Union Master Crafted Rye,9.1
Rowan's Creek,8.6
Royal Brackla 12 Year Single Malt – Batch 1,8.5
Royal Brackla 14 Year Old,7.8
"Sazerac Rye (""Baby Saz"")",9.0
Single Oak Project barrel 77,8.5
Single Oak Project Barrel 175,9.0
Smooth Ambler 10 Year Bourbon- Old Line Private Barrel,8.9
Smooth Ambler Old Scout 7 Year Bourbon,8.7
Smooth Ambler Old Scout 8 Year Bourbon,8.6
Smooth Ambler Old Scout 10 Year Bourbon,8.9
Smooth Ambler Old Scout Rye Whiskey,8.8
Smooth Ambler Old Scout Single Barrel Cask Strength Bourbon,8.8
Smooth Ambler Old Scout Single Barrel Cask Strength Rye Whiskey,9.2
Speyburn 10 Year,8.35
Speyburn Arranta Casks,8.4
Spirit Hound Straight Malt ,8.55
Stagg Jr. (139.8°),9.1
Stagg Jr. (2014),9.4
Stranahan's Snowflake #15 Pikes Peak ,8.95
Stranahan's Snowflake #16 Mount Bierstadt,9.5
Stranahan's Snowflake #17 Longs Peak,8.8
Stranahan's Snowflake #18 Mount Evans,9.1
Stranahan's Snowflake #19 Crestone Peak,8.9
Stranahan’s Single Barrel Cask Strength,8.85
Sunshine Reserve,8.3
Talisker 18 Year Old,9.1
Tarnished Truth High Rye Bourbon,8.5
Teeling Whiskey 24 Year,9.1
Teeling Whiskey Brabazon Bottling Series 2,8.8
Teeling Whiskey Single Malt,8.5
Teeling Whiskey Small Batch ,8.1
That Boutique-y Whisky Company 8 Year Old Irish Single Malt Batch 2 ,8.8
That Boutique-y Whisky Company 13 Year Old Irish Single Malt Batch 3,8.5
The Balvenie 12 Year Old Singel Barrel,8.9
The Balvenie 14 Year Old Caribbean Oak,8.4
The Balvenie 14 Year Old Peat Week – 2002 Vintage,9.0
The Balvenie 14 Year Old Peat Week – 2002 Vintage,8.8
The Balvenie 14 Year Old Peat Week (2003 Vintage),9.15
The Balvenie 15 Year Old Single Barrel Sherry Cask,7.7
The Balvenie Doublewood 12 Year Single Barrel,8.8
The Dalmore King Alexander III,9.1
The Dubliner 10 Year,7.5
The Gifted horse,8.2
The Half-Century Blend Batch 2 ,9.1
The Irishman Single Malt,8.5
The Kurayoshi Pure Malt ,8.5
The Kurayoshi Sherry Cask Blended Malt ,7.5
The Lost Distilleries Blend Batch 10,8.8
The Macallan Classic Cut 2017,8.6
The Macallan Classic Cut 2018,9.2
The Macallan Edition No. 4,8.95
The Macallan Rare Cask,8.8
The Nikka 12-Year Old,8.5
The Pogues,7.2
The Quiet Man 8 Year Single Malt,8.6
The Quiet Man Traditional Blend,8.3
The Silkie Blended Irish Whiskey,7.2
The Yamazaki Distiller’s Reserve Single Malt ,8.5
Tincup Straight Rye Whiskey,8.4
Tomatin 11 Year Single Malt – Batch 4,9.1
Tomatin 27 Year Old – 1988 Batch 3,9.1
Tomatin 1999 (Liquor Barn Private Cask),8.9
Tullamore D.E.W. 12 Year Special Reserve,8.5
Tullamore D.E.W. 18 Year Old,9.1
Tullamore D.E.W. 18 Year Old,9.1
Very Old Barton Bottled in Bond,8.3
Very Special Old Fitzgerald 12 year,8.8
Virginia Gentleman Small Batch,7.5
W.L. Weller Special Reserve  (Liquor Barn),8.0
Warbringer,7.6
Watershed Bourbon,8.5
Wathan's Single Barrel Bourbon,8.4
West Cork Glengarriff Series Peat Charred Cask,7.8
Westland Garryana (2016 edition 1/1),8.35
Westland Sherry Wood ,8.6
White Walker,7.3
Whoop & Holler,8.4
Wild Turkey 101,8.8
Wild Turkey Kentucky Spirit - Bourbon Society Selection,9.0
Wild Turkey Rare Breed 112.8°,8.6
Wild Turkey Russell's Reserve 6 Year Rye,8.2
Wild Turkey Russell's Reserve Single Barrel Private Selection Bourbon (Westport Whiskey & Wine),8.9
Wild Turkey Russell's Reserve Single Barrel Rye - LB Series 1,9.1
Willett Family Estate 4 Year Rye,9.0
Willett Family Estate Single Barrel 8 Year (Liquor Barn),8.8
Willett Family Estate Single Barrel 10 Year Bourbon (Westport Whiskey & Wine),9.3
Willett Pot Still Reserve,8.7
Willett XCF Version 1.0,8.4
William Larue Weller (2013),9.4
Winchester Extra Smooth Bourbon,5.5
Wolfburn Aurora Single Malt,8.5
Woodford Reserve Double Double Oaked,8.9
Woodford Reserve Sweet Mash Redux,7.8
Woodford Resserve Chocolate Malted Rye,9.2
Writers Tears Cask Strength (2017 Release),8.5
Writers Tears Copper Pot ,8.8
Wyoming Whiskey 2018 Steamboat Edition,8.2
Wyoming Whiskey Small Batch Bourbon,8.9
Yamazaki 18-Year Old,9.4
Yamazakura Blended Whisky,7.5
Yamazakura Blended Whisky,7.3
Yippee Ki-Yay,8.2
