,name,rating
0,2bar Straight Bourbon Whiskey,"85
"
1,1792 Full Proof,"91
"
2,1792 Full Proof Single Barrel (Kroger),89
3,1792 Full Proof Single Barrel (The Bourbon Society),94
4,1792 Single Barrel,88
5,1792 Small Batch (formerly Ridgemont Reserve),86
6,1792 Sweet Wheat,89
7,A Midwinter Nights Dram 2.9/710,90
8,A Midwinter Nights Dram 5.5,92
9,A.D. Laws Hordeum   ,79
10,Akashi White Oak Blended Whisky ,C
11,American Prairie,88
12,Ancient Age 80,75
13,Ancient Age 90,79
14,Ancient Ancient Age 10 Star,80
15,Ardbeg 10 Year,85.5
16,Ardbeg Corryvreckan,91
17,Ardbeg Dark Cove,86
18,Ardbeg Drum Committee Release,85.5
19,Ardbeg Drum Standard Release,83.5
20,Ardbeg Grooves,93.5
21,Ardbeg Kelpie,91
22,Ardbeg Supernova Committee Release (2019),93.5
23,Ardbeg Uigeadail,92
24,Auchentoshan 18 Year Old,B-
25,Bad Guy Batch #3,90
26,Baker's ,86
27,Balcones Texas Single Malt ,88.5
28,Barrell Bourbon Batch 10,93
29,Barrell Bourbon Batch 13,83
30,Barrell Bourbon Batch 15,90
31,Barrell Bourbon Batch 019,90
32,Barrell Dovetail,91
33,Barrell Whiskey American Vatted Malt,85
34,Barrell Whiskey Batch 005,90
35,Barterhouse,85
36,Basil Hayden's,82
37,Basil Hayden's Two by Two Rye,78
38,Belle Meade Select Cask Madeira Finished Bourbon,94
39,Belle Meade Sherry Cask Finished Bourbon,92
40,Bernheim Wheat Whiskey (private barrel selection),83
41,Bernheim Wheat Whiskey Liquor Barn Private Selection,88
42,Bernheim  Wheat Whiskey Small Batch (Comparison Review),87
43,Big Peat Drinks by the Dram Edition,B
44,Black Ridge,85
45,Blade & Bow,88
46,Blade & Bow 22 Year,90
47,Blanton's,89
48,Blanton's Straight from the Barrel - Barrel #928,90
49,Booker's,90
50,Booker's Rye,"94
"
51,Bruichladdich Islay Barley Rockside Farm 2007,85
52,Bruichladdich Octomore 8.1,88.5
53,Bruichladdich Octomore 10.3,94.5
54,Bruichladdich Port Charlotte Islay Barley Heavily Peated,87
55,Bruichladdich Port Charlotte Scottish Barley Heavily Peated,"85
"
56,Bruichladdich Scottish Barley The Classic Laddie,"85
"
57,Buffalo Trace,88
58,Bulleit 10 Year Bourbon,88
59,Bulleit Barrel Strength Bourbon,89
60,Bulleit Bourbon,86
61,Bulleit Bourbon Single Barrel,88
62,Bulleit Rye,87
63,Butterface,83
64,Caol Ila Distillers Edition Moscatel Cask Finish (2015),B+
65,Cedar Ridge Single Malt finished in a Port Cask,66
66,Climax Moonshine,NR
67,Climax Wood Fired Whiskey,69
68,"Col. E. H. Taylor, Jr. Single Barrel",88
69,"Col. E. H. Taylor, Jr. Small Batch",88
70,"Colonel E. H. Taylor, Jr. Barrel Proof (2014)",92
71,Compass Box Juveniles,92
72,Compass Box Phenomenology,93
73,Connemara Peated Single Malt ,B-
74,Coopers' Craft,"84
"
75,Coopers' Craft Barrel Reserve,"80
"
76,Dailuaine 16 Year Old Flora and Fauna,B-
77,Dalwhinnie 25 Year Old 1989 (Special Release 2015),B/B+
78,David Nicholson 1843,86
79,David Nicholson Reserve,"87
"
80,Deanston 18 Year Old,B
81, Deerhammer Single Malt,80
82,Double Rye!,90
83,Eagle Rare (2014 Label/Batched),84
84,"Eagle Rare (Pre 2014 Label, Single Barrel)",89
85,Early Times Bottled in Bond Bourbon,87
86,Egan's 10 Year Single Malt,87
87,Egan's Vintage Grain Irish Whiskey,86
88,Eight and Sand,88
89,Eighteen 33,86
90,Elijah Craig Barrel Proof Batch A119, 93
91,Elijah Craig Barrel Proof Batch B514 134.8°,91
92,Elijah Craig Barrel Proof Batch B516 139.4° (Bill),"88
"
93,Elijah Craig Barrel Proof Batch B516 139.4° (Wes),B+
94,Elijah Craig Barrel Proof Batch B517 124.2°,92
95,Elijah Craig Barrel Proof Batch B519 122.2°,90
96,Elijah Craig Barrel Proof Batch C917 131°,91
97,Elijah Craig Barrel Proof Batch C918 131.4°,93
98,Elijah Craig Barrel Proof Batch C919 136.8°,90
99,Elijah Craig Barrel Select 125,82
100,Elijah Craig Small Batch (12 Year),89
101,Elmer T. Lee,89
102,Epoch Rye,86
103,Evan Williams 1783,85
104,Evan Williams (Black Label),82
105,Evan Williams Barrel Proof,91
106,Evan Williams Bottled in Bond (White Label),86
107,Evan Williams Master Distillers Select,88
108,Evan Williams Single Barrel Vintage 2003,88
109,Evan Williams Single Barrel Vintage 2004 (Society selection),89
110,Ezra B Single Barrel 12 Year,88
111,Ezra Brooks Straight Rye,81
112,Farmstock Rye Crop 002,NR
113,Flatboat,87
114,Forged Oak,89
115,Four Roses LE Small Batch 125th Anniversary (2013),96
116,Four Roses LE Small Batch  (2014),92
117,Four Roses LE Small Batch  (2016),93
118,"Four Roses Limited Edition Single Barrel (2014), OESF",95
119,Four Roses Single Barrel,88
120,Four Roses Single Barrel Private Selection Barrel Strength OBSV (Whiskey Women/Liquor Barn),89
121,Four Roses Single Barrel Private Selection Barrel Strength OESF (Liquor Barn),94
122,Four Roses Single Barrel Private Selection OESQ (Liquor Barn),89
123,Four Roses Small Batch,87
124,Garrison Brothers Bourbon (Fall 2013 Vintage),83
125,Gaur Spice No.1 Blend,68
126,George Dickel 17 Year Tennessee Whiskey,77
127,George Remus Bourbon,88
128,George Remus Repeal Reserve Bourbon Series I (2017),92
129,George Remus Repeal Reserve Bourbon Series II (2018),92
130,George Remus Repeal Reserve Bourbon Series III (2019),NR
131,"George T. Stagg, 2009 Bottling",95
132,Glen Moray Single Malt Peated,67
133,Glendalough 7 Year Porter Barrel Finish,C
134,Glendalough 13 Year Old Mizunara Oak Finish,A-
135,Glendalough 13 Year Old Mizunara Oak Finish,A-
136,GlenDronach Allardice 18 Year,92
137,Glenfarclas 25 Year Old,A-
138,Glenfiddich 21 Year Old Gran Reserve,B/B+
139,Grand Traverse Bourbon,91
140,Grand Traverse Islay Rye,94
141,Grand Traverse Rye,93
142,Hakushu Distiller’s Reserve Single Malt,B+
143,Hancock's President's Reserve,87
144,Hartfield & Co. -The Gentleman Whiskey,NR
145,Heaven Hill 6 Year Bottled in Bond (comparison),86
146,Heaven Hill 6 Year Bourbon,86
147,Heaven Hill 7 Year Bottled in Bond,NR
148,Heaven Hill 27 Year Bourbon,83
149,Heaven Hill Select Stock 2016 (126.4°),"91
"
150,Heaven Hill Select Stock 2017 (97°),84
151,Henry McKenna Single Barrel Private Selection (Liquor Barn),88
152,Hibiki 17 Year Old,A
153,Hibiki Japanese Harmony ,B
154,Hillrock Single Malt Sherry Finished (OPX-10) ,77.5
155,Hyde 6 Year Old No. 3 Aras Cask,B-
156,Hyde No. 6 President’s Reserve,A-
157,I.W. Harper 15 year Bourbon,91
158,I.W. Harper Kentucky Straight Bourbon (4 years),84
159,Isaac Bowman Port Barrel Finish Bourbon,86-
160,J.W. Dant Bottled-in-Bond,79
161,Jack Daniel's Red Dog Saloon Tennessee Whiskey,86
162,Jack Daniel's Single Barrel Barrel Proof,90
163,James E. Pepper 1776 Barrel Proof Rye,87
164,James E. Pepper 1776 Sherry Finished Rye,"83
"
165,Jameson Caskmates IPA Edition,88
166,Jefferson's Chef's Collaboration (2015),84
167,Jefferson's Chef's Collaboration (2018),86
168,Jefferson's Ocean Voyage 3,89
169,Jefferson's Presidential Select 25 Year,84
170,Jefferson's Pritchard Hill Cab Finished Bourbon,83
171,Jim Beam Distiller's Cut,81.3
172,Jim Beam Double Oak,88
173,Jim Beam Harvest Collection Soft Red Wheat,84
174,Justice Label Bronze Star Texas Whiskey,NR
175, Kaiyo Cask Strength Mizunara Oak,B
176,Kamiki     ,D+
177,Kavalan Sherry Oak,C/C+
178,Kavalan Solist Sherry Cask,94
179,Kentucky Tavern Bottled-in-Bond,85
180,Kentucky Vintage,78
181,Kilchoman 100% Islay – 7th Edition,B
182,Kinahan’s 10 Year Single Malt ,B
183,King of Kentucky 2018,95
184,Kirin Fuji-Sanroku Blended Whisky,B
185,Knappogue Castle Texas Barrel Select 12 Year Single Malt Irish Whisky,92
186,Knob Creek,86
187,Knob Creek 2001,91
188,Knob Creek Cask Strength Rye (2018),92
189,Knob Creek Single Barrel Reserve,90
190,Knob Creek Single Barrel Rye (Westport Whiskey & Wine),90
191,Kura The Whisky Pure Malt,B-
192,Lagavulin 8 Year Scotch,88.5
193,Lagavulin 12 Year Scotch,87.5
194,Lagavulin 16 Year Scotch,91.5
195,Lagavulin Distillers Edition (2015),92
196,Larceny,86
197,Larceny Barrel Proof,88
198,Lonerider Sherry Cask Finished Bourbon,78
199,Lost Prophet,90
200,Mackmyra Moment – Malström (Swedish Single Malt),B/B-
201,Maker's 46,87
202,Maker's Mark,86
203,Maker's Mark Cask Strength,90
204,Maker's Mark Private Select Liquor Barn #1,93
205,Maker's Mark Private Select Liquor Barn #2,92
206,Mars Maltage “Cosmo” ,C+
207,Masterson's Rye Whiskey,82
208,MB Roland Still & Barrel Proof,87
209,McAffee's Benchmark Old. No. 8,75
210,McCarthy’s Oregon Single Malt,86.5
211,Mellow Corn,76
212,Michter's Small Batch US*1,87
213,Michter’s Toasted Barrel Bourbon (2016),86
214,Minor Case Rye Whiskey (2017),87
215,Naarangi,85
216,Nikka All Malt,B-
217,Nikka Blended Whisky,C+
218,Nikka Coffey Grain,B+
219,"Nikka Coffey Malt
",B+
220,Nikka From the Barrel,A-
221,Nikka Pure Malt Black ,A-
222,Nikka Pure Malt Red ,B
223,Nikka Taketsuru 21-Year Old,A-
224,"Nikka Taketsuru Pure Malt 
",B
225,Noah's Mill,89
226,O.K.I. 10 Year Sherry/Brandy Finished Bourbon,93
227,Old Bardstown Bottled-in-Bond,79
228,Old Crow,72
229,Old Ezra,87
230,Old Ezra Barrel Strength,90
231,Old Fitzgerald Bottled in Bond,86
232,Old Fitzgerald Bottled in Bond Fall 2018 Limited Edition,91
233,Old Fitzgerald Bottled in Bond Spring 2018 Limited Edition,88
234,Old Fitzgerald Bottled in Bond Spring 2019 Limited Edition,82
235,Old Fitzgerald Prime,83
236,Old Forester 86,82
237,Old Forester 1870 Original Batch,92
238,Old Forester 1897 Bottled-in-Bond,90
239,Old Forester 1910,86
240,Old Forester 1920 Prohibition Style Bourbon,91
241,Old Forester Birthday Bourbon 2014,90
242,Old Forester Birthday Bourbon 2016,90
243,Old Forester Birthday Bourbon 2017,92
244,Old Forester Birthday Bourbon 2018,86
245,Old Forester Rye,90
246,Old Forester Signature,88
247,Old Forester Single Barrel- The Bourbon Society selection,87
248,Old Forth Bottled in Bond,86
249,Old George Rye,93
250,Old Grand Dad BiB 100 (#BBBR),76
251,Old Grand-Dad 114,86
252,Old Overholt Bonded Rye Whiskey,79
253,Old Particular North British 27 Year Old,A-
254,Old Taylor,69
255,Old Tub,84
256,Old Weller Antique  (Liquor Barn),85
257,Paddy Irish Whiskey ,C
258,"Parker's Heritage 7th edition, Promise of Hope (2013)",93
259,Parker's Heritage Collection 8th Edition Wheat Whiskey (2014),95
260,Parker's Heritage Collection 9th Edition Malt Whiskey (2015),88
261,Parker's Heritage Collection 11th Edition (2017),92
262,Parker's Heritage Collection 12th Edition (2018),86
263,Peaky Blinder Irish Whiskey   ,C+
264,Penelope 4-Grain Bourbon,88
265,Pikesville Rye Whiskey,92
266,Pinhook Rye Lot 001,87
267,Rabbit Hole Bourbon,85
268,Rabbit Hole Rye,86
269,Rebel Yell Single Barrel 10 Year (2016),90
270,Rebel Yell Single Barrel 10 Year (2017),92
271,Rebel Yell Small Batch Rye,79
272,Redemption Wheated Bourbon (Batch 2),87
273,Resilient Indiana Bourbon Barrel #5,88
274,Resilient Tennessee Bourbon Barrel 88,85
275,Resilient Tennessee Bourbon Barrel 110,90
276,Rhetoric 23 Year,87
277,Rhetoric 25 Year,87
278,Rittenhouse Rye Bottled-in-Bond,91
279,Rock Hill Farms Single Barrel,90
280,Roe & Co Blended Irish Whiskey,C+
281,Rossville Union Barrel Proof Rye,90
282,Rossville Union Master Crafted Rye,91
283,Rowan's Creek,86
284,Royal Brackla 12 Year Single Malt – Batch 1,B
285,Royal Brackla 14 Year Old,C+
286,"Sazerac Rye (""Baby Saz"")",90
287,Single Oak Project barrel 77,85
288,Single Oak Project Barrel 175,90
289,Smooth Ambler 10 Year Bourbon- Old Line Private Barrel,89
290,Smooth Ambler Old Scout 7 Year Bourbon,87
291,Smooth Ambler Old Scout 8 Year Bourbon,86
292,Smooth Ambler Old Scout 10 Year Bourbon,89
293,Smooth Ambler Old Scout Rye Whiskey,88
294,Smooth Ambler Old Scout Single Barrel Cask Strength Bourbon,88
295,Smooth Ambler Old Scout Single Barrel Cask Strength Rye Whiskey,92
296,Speyburn 10 Year,83.5
297,Speyburn Arranta Casks,84
298,Spirit Hound Straight Malt ,85.5
299,Stagg Jr. (139.8°),A-
300,Stagg Jr. (2014),94
301,Stranahan's Snowflake #15 Pikes Peak ,89.5
302,Stranahan's Snowflake #16 Mount Bierstadt,95
303,Stranahan's Snowflake #17 Longs Peak,88
304,Stranahan's Snowflake #18 Mount Evans,91
305,Stranahan's Snowflake #19 Crestone Peak,89
306,Stranahan’s Single Barrel Cask Strength,88.5
307,Sunshine Reserve,83
308,Talisker 18 Year Old,A-
309,Tap 357,NR
310,Tarnished Truth High Rye Bourbon,85
311,Teeling Whiskey 24 Year,A-
312,Teeling Whiskey Brabazon Bottling Series 2,B+
313,Teeling Whiskey Single Malt,B
314,Teeling Whiskey Small Batch ,B-
315,That Boutique-y Whisky Company 8 Year Old Irish Single Malt Batch 2 ,B+
316,That Boutique-y Whisky Company 13 Year Old Irish Single Malt Batch 3,B
317,The Balvenie 12 Year Old Singel Barrel,89
318,The Balvenie 14 Year Old Caribbean Oak,84
319,The Balvenie 14 Year Old Peat Week – 2002 Vintage,90
320,The Balvenie 14 Year Old Peat Week – 2002 Vintage,B+
321,The Balvenie 14 Year Old Peat Week (2003 Vintage),91.5
322,The Balvenie 15 Year Old Single Barrel Sherry Cask,77
323,The Balvenie Doublewood 12 Year Single Barrel,88
324,The Dalmore King Alexander III,A-
325,The Dubliner 10 Year,C
326,The Gifted horse,82
327,The Half-Century Blend Batch 2 ,A-
328,The Irishman Single Malt,B
329,"The Kurayoshi Pure Malt 
",B
330,The Kurayoshi Sherry Cask Blended Malt ,C
331,The Lost Distilleries Blend Batch 10,B+
332,The Macallan Classic Cut 2017,86
333,The Macallan Classic Cut 2018,92
334,The Macallan Edition No. 4,89.5
335,The Macallan Rare Cask,B+
336,The Nikka 12-Year Old,B
337,The Pogues,C-
338,The Quiet Man 8 Year Single Malt,86
339,The Quiet Man Traditional Blend,83
340,The Silkie Blended Irish Whiskey,C-
341,The Yamazaki Distiller’s Reserve Single Malt ,B
342,Tincup Straight Rye Whiskey,"84
"
343,Tomatin 11 Year Single Malt – Batch 4,A-
344,Tomatin 27 Year Old – 1988 Batch 3,A-
345,Tomatin 1999 (Liquor Barn Private Cask),89
346,Tullamore D.E.W. 12 Year Special Reserve,B
347,Tullamore D.E.W. 18 Year Old,A-
348,Tullamore D.E.W. 18 Year Old,A-
349,Very Old Barton Bottled in Bond,83
350,Very Special Old Fitzgerald 12 year,88
351,Virginia Gentleman Small Batch,75
352,W.L. Weller Special Reserve  (Liquor Barn),80
353,Warbringer,76
354,Watershed Bourbon,85
355,"Wathan's Single Barrel Bourbon
","84
"
356,West Cork Glengarriff Series Peat Charred Cask,C+
357,Westland Garryana (2016 edition 1/1),83.5
358,Westland Sherry Wood ,86
359,White Walker,73
360,Whoop & Holler,"84
"
361,Wild Turkey 101,88
362,Wild Turkey Kentucky Spirit - Bourbon Society Selection,90
363,Wild Turkey Rare Breed 112.8°,86
364,Wild Turkey Russell's Reserve 6 Year Rye,82
365,Wild Turkey Russell's Reserve Single Barrel Private Selection Bourbon (Westport Whiskey & Wine),89
366,Wild Turkey Russell's Reserve Single Barrel Rye - LB Series 1,91
367,Willett Family Estate 4 Year Rye,90
368,Willett Family Estate Single Barrel 8 Year (Liquor Barn),88
369,Willett Family Estate Single Barrel 10 Year Bourbon (Westport Whiskey & Wine),93
370,Willett Pot Still Reserve,87
371,Willett XCF Version 1.0,84
372,William Larue Weller (2013),94
373,Winchester Extra Smooth Bourbon,55
374,Wolfburn Aurora Single Malt,B
375,Woodford Reserve Double Double Oaked,89
376,Woodford Reserve Straight Wheat Whiskey,NR
377,Woodford Reserve Sweet Mash Redux,78
378,Woodford Resserve Chocolate Malted Rye,92
379,Writers Tears Cask Strength (2017 Release),B
380,Writers Tears Copper Pot ,B+
381,Wyoming Whiskey 2018 Steamboat Edition,82
382,Wyoming Whiskey Small Batch Bourbon,89
383,Yamazaki 18-Year Old,A
384,Yamazakura Blended Whisky,C
385,Yamazakura Blended Whisky,C/C-
386,Yippee Ki-Yay,82-
