,style
0,Bourbon
1,Bourbon
2,Bourbon
3,Bourbon
4,Bourbon
5,Bourbon
6,Bourbon
7,Rye
8,Rye
9,American SIngle Malt
10,Japanese Whisky
11,Bourbon
12,Bourbon
13,Bourbon
14,Bourbon
15,Scotch
16,Scotch
17,Scotch
18,Scotch
19,Scotch
20,Scotch
21,Scotch
22,Scotch
23,Scotch
24,Scotch
25,Bourbon
26,Bourbon
27,American Single Malt
28,Bourbon
29,Bourbon
30,Bourbon
31,Bourbon
32,Finished Whiskey
33,American Malt Whiskey
34,Whiskey
35,Bourbon
36,Bourbon
37,Bourye
38,Finished Bourbon
39,Finished Bourbon
40,Wheat Whiskey
41,Wheat Whiskey
42,Wheat Whiskey
43,Scotch
44,Bourbon
45,Bourbon
46,Bourbon
47,Bourbon
48,Bourbon
49,Bourbon
50,Rye
51,Scotch
52,Scotch
53,Scotch
54,Scotch
55,Scotch
56,Scotch
57,Bourbon
58,Bourbon
59,Bourbon
60,Bourbon
61,Bourbon
62,Rye
63,Bourbon
64,Scotch
65,American SIngle Malt
66,White Dog
67,Whiskey
68,Bourbon
69,Bourbon
70,Bourbon
71,Scotch
72,Scotch
73,Irish Whiskey
74,Bourbon
75,Bourbon
76,Scotch
77,Scotch
78,Bourbon
79,Bourbon
80,Scotch
81,American SIngle Malt
82,Rye
83,Bourbon
84,Bourbon
85,Bourbon
86,Irish Whiskey
87,Irish Whiskey
88,Blended Bourbon
89,Bourbon
90,Bourbon
91,Bourbon
92,Bourbon
93,Bourbon
94,Bourbon
95,Bourbon
96,Bourbon
97,Bourbon
98,Bourbon
99,Bourbon
100,Bourbon
101,Bourbon
102,Rye
103,Bourbon
104,Bourbon
105,Bourbon
106,Bourbon
107,Bourbon
108,Bourbon
109,Bourbon
110,Bourbon
111,Bourbon
112,Rye
113,Bourbon
114,Bourbon
115,Bourbon
116,Bourbon
117,Bourbon
118,Bourbon
119,Bourbon
120,Bourbon
121,Bourbon
122,Bourbon
123,Bourbon
124,Bourbon
125,Flavored Whiskey
126,Tennessee Whiskey
127,Bourbon
128,Bourbon
129,Bourbon
130,BOurbon
131,Bourbon
132,Scotch
133,Irish Whiskey
134,Irish Whiskey
135,Irish Whiskey
136,Scotch
137,Scotch
138,Scotch
139,Bourbon
140,Rye
141,Rye
142,Japanese Whisky
143,Bourbon
144,Whiskey
145,Bourbon
146,Bourbon
147,Bourbon
148,Bourbon
149,Bourbon
150,Corn Whiskey
151,Bourbon
152,Japanese Whisky
153,Japanese Whisky
154,American SIngle Malt
155,Irish Whiskey
156,Irish Whiskey
157,Bourbon
158,Bourbon
159,Finished Bourbon
160,Bourbon
161,Tennessee Whiskey
162,Tennessee Whiskey
163,Rye
164,Rye
165,Irish Whiskey
166,Bourye
167,Bourye
168,Bourbon
169,Bourbon
170,Bourbon
171,Bourbon
172,Bourbon
173,Bourbon
174,Whiskey
175,Japanese Whisky
176,Japanese Whisky
177,Taiwanese Single Malt Whiskey
178,Taiwanese Single Malt Whiskey
179,Bourbon
180,Bourbon
181,Scotch
182,Irish Whiskey
183,Bourbon
184,Japanese Whisky
185,Irish Whiskey
186,Bourbon
187,Bourbon
188,Rye
189,Bourbon
190,Rye
191,Japanese Whisky
192,Scotch
193,Scotch
194,Scotch
195,Scotch
196,Bourbon
197,Bourbon
198,Bourbon
199,Bourbon
200,Swedish Single Malt
201,Bourbon
202,Bourbon
203,Bourbon
204,Bourbon
205,Bourbon
206,Japanese Whisky
207,Rye
208,Bourbon
209,Bourbon
210,American SIngle Malt
211,Corn Whiskey
212,Bourbon
213,Bourbon
214,Rye
215,Indian Single Malt
216,Japanese Whisky
217,Japanese Whisky
218,Japanese Whisky
219,"Japanese Whisky
"
220,Japanese Whisky
221,Japanese Whisky
222,Japanese Whisky
223,Japanese Whisky
224,Japanese Whisky
225,Bourbon
226,Bourbon
227,Bourbon
228,Bourbon
229,Bourbon
230,Bourbon
231,Bourbon
232,Bourbon
233,Bourbon
234,Bourbon
235,Bourbon
236,Bourbon
237,Bourbon
238,Bourbon
239,Bourbon
240,Bourbon
241,Bourbon
242,Bourbon
243,Bourbon
244,Bourbon
245,Rye Whiskey
246,Bourbon
247,Bourbon
248,Bourbon
249,Rye Whiskey
250,Bourbon
251,Bourbon
252,Rye Whiskey
253,Scotch
254,Bourbon
255,Bourbon
256,Bourbon
257,Irish Whiskey
258,Bourbon
259,Wheat Whiskey
260,Malt Whiskey
261,Bourbon
262,Bourbon
263,Irish Whiskey
264,Bourbon
265,Rye
266,Rye
267,Bourbon
268,Rye
269,Bourbon
270,Bourbon
271,Rye
272,Bourbon
273,Bourbon
274,Bourbon
275,Bourbon
276,Bourbon
277,Bourbon
278,Rye
279,Bourbon
280,Irish Whiskey
281,Rye
282,Rye
283,Bourbon
284,Scotch
285,Scotch
286,Rye
287,Bourbon
288,Bourbon
289,Bourbon
290,Bourbon
291,Bourbon
292,Bourbon
293,Rye
294,Bourbon
295,Rye
296,Scotch
297,Scotch
298,American SIngle Malt
299,Bourbon
300,Bourbon
301,American Malt Whiskey
302,American Malt Whiskey
303,American Malt Whiskey
304,American Malt Whiskey
305,American Malt Whiskey
306,American Malt Whiskey
307,American Whiskey
308,Scotch
309,Flavored Rye
310,Bourbon
311,Irish Whiskey
312,Irish Whiskey
313,Irish Whiskey
314,Irish Whiskey
315,Irish Whiskey
316,Irish Whiskey
317,Scotch
318,Scotch
319,Scotch
320,Scotch
321,Scotch
322,Scotch
323,Scotch
324,Scotch
325,Irish Whiskey
326,Whiskey
327,Scotch
328,Irish Whiskey
329,Japanese Whisky
330,Japanese Whisky
331,Scotch
332,Scotch
333,Scotch
334,Scotch
335,Scotch
336,Japanese Whisky
337,Irish Whiskey
338,Irish Whiskey
339,Irish Whiskey
340,Irish Whiskey
341,Japanese Whisky
342,Rye Whiskey
343,Scotch
344,Scotch
345,Scotch
346,Irish Whiskey
347,Irish Whiskey
348,Irish Whiskey
349,Bourbon
350,Bourbon
351,Bourbon
352,Bourbon
353,Finished Bourbon
354,Bourbon
355,Bourbon
356,Irish Whiskey
357,American SIngle Malt
358,American SIngle Malt
359,Scotch
360,Tennessee Whiskey
361,Bourbon
362,Bourbon
363,Bourbon
364,Rye
365,Bourbon
366,Rye
367,Rye
368,Bourbon
369,Bourbon
370,Bourbon
371,Rye
372,Bourbon
373,Bourbon
374,Scotch
375,Bourbon
376,Wheat Whiskey
377,Bourbon
378,Bourbon
379,Irish Whiskey
380,Irish Whiskey
381,Bourbon
382,Bourbon
383,Japanese Whisky
384,Japanese Whisky
385,Japanese Whisky
386,Finished Rye
